800
-640 4.67532e-13 0 -4.46937e-07 5.17474e-07
-630 1.12751e-12 0 -6.94066e-07 8.03604e-07
-620 2.68168e-12 0 -1.0704e-06 1.23933e-06
-610 6.29034e-12 0 -1.63937e-06 1.8981e-06
-600 1.45519e-11 0 -2.49345e-06 2.88697e-06
-590 3.32006e-11 0 -3.76629e-06 4.36069e-06
-580 7.47052e-11 0 -5.64958e-06 6.54121e-06
-570 1.65781e-10 0 -8.41606e-06 9.74429e-06
-560 3.62827e-10 0 -1.24506e-05 1.44156e-05
-550 7.83146e-10 0 -1.8292e-05 2.11789e-05
-540 1.66711e-09 0 -2.66885e-05 3.09005e-05
-530 3.49999e-09 0 -3.86701e-05 4.4773e-05
-520 7.24684e-09 0 -5.56436e-05 6.44254e-05
-510 1.47982e-08 0 -7.95144e-05 9.20635e-05
-500 2.98023e-08 0 -0.000112841 0.000130649
-490 5.91929e-08 0 -0.000159029 0.000184127
-480 1.1595e-07 0 -0.000222575 0.000257701
-470 2.24e-07 0 -0.000309361 0.000358184
-460 4.26781e-07 0 -0.000427016 0.000494407
-450 8.01941e-07 0 -0.000585348 0.000677724
-440 1.48614e-06 0 -0.000796845 0.000922593
-430 2.71616e-06 0 -0.00107727 0.00124726
-420 4.89588e-06 0 -0.00144633 0.00167452
-410 8.70334e-06 0 -0.00192842 0.00223261
-400 1.52588e-05 0 -0.00255348 0.0029561
-390 2.63836e-05 0 -0.00335785 0.00388696
-380 4.49911e-05 0 -0.00438526 0.0050755
-370 7.56658e-05 0 -0.00568778 0.00658141
-360 0.000125502 1.00671e-13 -0.00732688 0.00847461
-350 0.000205297 0.000319179 -0.00937443 0.0108359
-340 0.000331202 0.0008228 -0.0119139 0.0137572
-330 0.000526967 0.00160586 -0.0150415 0.0173413
-320 0.0008269 0.00280559 -0.018868 0.0217002
-310 0.00127968 0.00461672 -0.0235208 0.0269528
-300 0.00195313 0.00731049 -0.0291477 0.0332196
-290 0.00293994 0.0112577 -0.0359214 0.0406151
-280 0.0043644 0.0169556 -0.0440483 0.0492357
-270 0.00638986 0.0250574 -0.0537791 0.0591411
-260 0.00922651 0.036404 -0.065425 0.0703283
-250 0.013139 0.052054 -0.0793779 0.0826932
-240 0.018453 0.07331 -0.0961318 0.0959775
-230 0.0255594 0.101736 -0.116303 0.109695
-220 0.0349152 0.139159 -0.140634 0.123034
-210 0.047039 0.187654 -0.169965 0.134725
-200 0.0625 0.249498 -0.20514 0.14289
-190 0.0818996 0.327096 -0.246802 0.144874
-180 0.105843 0.422871 -0.295032 0.13711
-170 0.134904 0.539112 -0.348786 0.115117
-160 0.169576 0.6778 -0.405135 0.0737662
-150 0.210224 0.840394 -0.458432 0.00802839
-140 0.257028 1.02761 -0.499697 -0.0856254
-130 0.309927 1.23921 -0.516729 -0.207168
-120 0.368567 1.47377 -0.495559 -0.350697
-110 0.432269 1.72857 -0.42362 -0.502807
-100 0.5 1.9995 -0.29426 -0.64297
-90 0.570382 2.28103 -0.111126 -0.747016
-80 0.641713 2.56635 0.109918 -0.793493
-70 0.712025 2.8476 0.343224 -0.770858
-60 0.779165 3.11616 0.560139 -0.682209
-50 0.840896 3.36308 0.737484 -0.54499
-40 0.895025 3.5796 0.863873 -0.385678
-30 0.939523 3.75759 0.941066 -0.2322
-20 0.972655 3.89012 0.980339 -0.107659
-10 0.993092 3.97187 0.99616 -0.0275309
0 1 3.9995 1 8.50015e-17
10 0.993092 3.97187 0.99616 -0.0275309
20 0.972655 3.89012 0.980339 -0.107659
30 0.939523 3.75759 0.941066 -0.2322
40 0.895025 3.5796 0.863873 -0.385678
50 0.840896 3.36308 0.737484 -0.54499
60 0.779165 3.11616 0.560139 -0.682209
70 0.712025 2.8476 0.343224 -0.770858
80 0.641713 2.56635 0.109918 -0.793493
90 0.570382 2.28103 -0.111126 -0.747016
100 0.5 1.9995 -0.29426 -0.64297
110 0.432269 1.72857 -0.42362 -0.502807
120 0.368567 1.47377 -0.495559 -0.350697
130 0.309927 1.23921 -0.516729 -0.207168
140 0.257028 1.02761 -0.499697 -0.0856254
150 0.210224 0.840394 -0.458432 0.00802839
160 0.169576 0.6778 -0.405135 0.0737662
170 0.134904 0.539112 -0.348786 0.115117
180 0.105843 0.422871 -0.295032 0.13711
190 0.0818996 0.327096 -0.246802 0.144874
200 0.0625 0.249498 -0.20514 0.14289
210 0.047039 0.187654 -0.169965 0.134725
220 0.0349152 0.139159 -0.140634 0.123034
230 0.0255594 0.101736 -0.116303 0.109695
240 0.018453 0.07331 -0.0961318 0.0959775
250 0.013139 0.052054 -0.0793779 0.0826932
260 0.00922651 0.036404 -0.065425 0.0703283
270 0.00638986 0.0250574 -0.0537791 0.0591411
280 0.0043644 0.0169556 -0.0440483 0.0492357
290 0.00293994 0.0112577 -0.0359214 0.0406151
300 0.00195313 0.00731049 -0.0291477 0.0332196
310 0.00127968 0.00461672 -0.0235208 0.0269528
320 0.0008269 0.00280559 -0.018868 0.0217002
